structure_id,structure_name,structure_type,anchor_id,anchor_type,steel_tensile_strength_char,steel_xsect_area,anchor_load_char_calculation_method,anchor_load_char,warning_value_calculation_method,alarm_value_calculation_method,warning_value,alarm_value,installation_date,installed_anchor_load,measurement_date,measured_anchor_load,stress_unit,force_unit,area_unit
Bauwerk ID,Bauwerk,Bauwerktyp,Anker ID,Ankertyp,zul. Stahlfestigkeit,Stahlquerschnitt,Berechnungsmethode zul. Ankerkraft,zul. Ankerkraft,Berechnungsmethode Aufmerksamkeitswert,Berechnungsmethode Interventionswert,Aufmerksamkeitswert,Interventionswert,Baujahr,installierte Ankerkraft,Messdatum,gemssene Ankerkrfaft,Spannungseinheit,Krafteinheit,Flächeneinheit
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,30a,,1770,1116,,,,,,,1984,1000,2019,1091,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,30b,,1770,1116,,,,,,,1984,1000,2019,1057,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,29a,,1770,1116,,,,,,,1984,1000,2019,994,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,29b,,1770,1116,,,,,,,1984,1000,2019,1052,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,29c,,1770,1116,,,,,,,,,2019,1066,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,29d,,1770,1116,,,,,,,,,2019,1041,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,28,,1770,1116,,,,,,,,,2019,1009,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,25,,1770,1116,,,,,,,,,2019,972,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,24a,,1770,1116,,,,,,,,,2019,1008,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,24,,1770,1116,,,,,,,1984,1000,2019,1055,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,23,,1770,1116,,,,,,,1984,1000,2019,1038,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,23a,,1770,1116,,,,,,,,,2019,967,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,22.1,,1770,1116,,,,,,,1984,800,2019,842,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,19.1,,1770,1116,,,,,,,1984,800,2019,878,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,18a,,1770,1116,,,,,,,1984,1000,2019,1043,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,18b,,1770,1116,,,,,,,1984,1000,2019,1015,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,18c,,1770,1116,,,,,,,1984,600,2019,620,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,18d,,1770,1116,,,,,,,,,2019,994,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,17,,1770,1116,,,,,,,1984,1000,2019,986,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,14,,1770,1116,,,,,,,1984,1000,2019,997,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,13a,,1770,1116,,,,,,,1984,1000,2019,1047,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,13b,,1770,1116,,,,,,,1984,1000,2019,1012,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,13c,,1770,1116,,,,,,,1984,1000,2019,1045,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,13d,,1770,1116,,,,,,,,,2019,997,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,12,,1770,1116,,,,,,,1984,1000,2019,1016,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,10,,1770,1116,,,,,,,1984,1000,2019,976,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,9a,,1770,1116,,,,,,,1984,1000,2019,1044,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,9b,,1770,1116,,,,,,,1984,1000,2019,1019,MPa,kN,mm
